,Allomerus octoarticulatus,Allomerus septemarticulatus,Azteca sp1,Azteca sp5,Camponotus balzanii,Crematogaster erecta,Crematogaster flavosensitiva,Myrmelachysta flavocotea,Pachycondyla unidentata,Pheidole minutula,Pseudomyrmex concolor,Pseudomyrmex nigrescens,Pseudomyrmex sp1,Solenopsis sp1,Solenopsis sp4
Cecropia concolor,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cecropia purpureascens,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cordia nodosa,0,0,0,15,0,0,0,0,1,0,0,0,0,1,1
Duroia saccifera,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirtella duckei,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirtella myrmecophila,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Hirtella physophora,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maieta guianensis,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0
Maieta poeppigii,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Tachigali myrmecophyla,0,0,0,0,0,1,0,1,0,0,13,5,0,0,0
Tachigali polyphylla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
